Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Anne-Maree Conroy,7,4,2,0,392.03999999999996,7.959999999999994,2.0304050607080897
Shane Gaebler,8,4,2,0,461.24,-61.24000000000001,-13.27725262336311
Steven Zammit,6,4,2,0,355.07000000000005,44.92999999999999,12.653842904216067
Vanessa Brockman,6,4,2,0,373.5,26.5,7.095046854082998
Bryse McElhinney,6,4,1,1,333.92,66.07999999999998,19.789171058936265
Julie O'Neill,6,4,1,1,359.34,40.660000000000004,11.315188957533257
Ros Rolfe,6,4,1,1,343.19,56.81,16.55351263148693
Vince Vallelonga,10,4,1,1,645.83,-245.83000000000004,-38.064196460368834
Anthony Bucca,8,4,1,0,458.55,-58.55000000000001,-12.76850943190492
Don Rudd,5,4,1,0,330.13,69.86999999999999,21.164389785841937
Terry Dymock,5,4,1,0,287.13,112.87,39.30972033573642
Tiarn McElhinney,5,4,1,0,277.11,122.88999999999999,44.34701021255096
Wayne Justins,5,4,1,0,349.22999999999996,50.76999999999999,14.537697219597398
Bevan Pringle,8,4,0,2,484.58,-84.58000000000001,-17.454290313260973
Maryann White,9,4,0,2,566.38,-166.38,-29.376037289452313
Dylan Ford,6,4,0,1,395.63,4.370000000000001,1.1045673988322424
Cameron Maggs,6,4,0,0,384.69999999999993,15.299999999999983,3.977125032492848
Chris Bourke,5,4,0,0,294.86,105.14000000000001,35.65760021705216
Derrick Krafft,5,4,0,0,307.23,92.77,30.195618917423428
Ian Watson,4,4,0,0,244.61,155.39,63.52561219901066
James Warnock,5,4,0,0,326.04,73.96,22.684333210648997
Jemma Collins,4,4,0,0,262.10999999999996,137.89,52.60768379687918
John Livingstone,4,4,0,0,252.29,147.71,58.54770304015221
John Meade,5,4,0,0,343.0,57.0,16.61807580174927
Michael Barry,5,4,0,0,302.51,97.49000000000001,32.227033817063905
Michael Reed,4,4,0,0,217.15,182.85,84.20446695832374
Neil Rowley,4,4,0,0,222.24,177.76,79.98560115190784
Samantha Gangell,6,4,0,0,339.19,60.81,17.92800495297621
Tom Callaghan,5,4,0,0,327.12000000000006,72.88,22.279285888970403
Tommy Sheehy,5,4,0,0,318.15999999999997,81.84,25.722906713603223
Brent Thomson,11,3,4,0,612.72,-312.72,-51.037994516255395
Bayley Duck,8,3,3,0,550.1199999999999,-250.12,-45.46644368501419
Bryce Campbell,6,3,3,0,371.39,-71.39,-19.222380785696977
Phil Costello,10,3,2,2,619.46,-319.46,-51.570722887676354
Charlene Gusman,7,3,2,1,499.42,-199.42000000000002,-39.930319170237475
