Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Wayne Gowley,6,1,1,0,105.58999999999999,-5.589999999999992,-5.294061937683486
Trent Lethaby,24,1,0,7,408.15,-308.15,-75.49920372412103
Alexandra Hurley,19,1,0,4,114.39000000000001,-14.389999999999999,-12.57977095899991
James Bates,13,1,0,3,70.99,29.009999999999998,40.8649105507818
Steve Borg,22,1,0,3,220.31,-120.30999999999999,-54.60941400753483
Tom Callaghan,7,1,0,3,247.82999999999998,-147.83000000000004,-59.649759916071524
Billy Moore,17,1,0,2,210.39000000000001,-110.39000000000001,-52.46922382242503
Colin Vigar,11,1,0,2,98.78999999999999,1.2099999999999973,1.2248203259439188
Gary Williams,12,1,0,2,129.93,-29.929999999999996,-23.035480643423377
Jeff McLean,9,1,0,2,98.95,1.04999999999999,1.061141990904487
Kelvin Winnell,8,1,0,2,54.83,45.170000000000016,82.38190771475473
Nigel Milne,12,1,0,2,132.67,-32.66999999999999,-24.625009421873813
Paul Railton,10,1,0,2,75.75,24.250000000000007,32.013201320132026
Amy Diebert,4,1,0,1,77.94999999999999,22.049999999999994,28.28736369467607
Dean Weller,24,1,0,1,212.23,-112.22999999999999,-52.881308014889505
Dennis Dale,17,1,0,1,157.56,-57.56000000000002,-36.53211474993654
Jake Betts,5,1,0,1,90.66,9.339999999999996,10.302228105007718
Joanne Justice,11,1,0,1,123.14,-23.14,-18.791619295111257
Martin Hanrahan,3,1,0,1,115.77000000000001,-15.770000000000007,-13.621836399758147
Matthew Higgins,16,1,0,1,254.97,-154.97,-60.77969957249872
Peter Arthur,7,1,0,1,151.81,-51.81,-34.12818654897569
Peter Matthews,9,1,0,1,98.11,1.890000000000002,1.92640913260626
Tom Gilligan,4,1,0,1,148.34,-48.34,-32.587299447215855
Tony Piltz,20,1,0,1,279.57,-179.56999999999996,-64.23078298816037
Wayne Morrison,12,1,0,1,156.56,-56.559999999999995,-36.12672457843638
Anna Farrell,2,1,0,0,24.82,75.17999999999999,302.90088638195
Brendan Abbott,5,1,0,0,104.01,-4.010000000000005,-3.855398519373142
Bruce Lovett,4,1,0,0,94.04,5.959999999999999,6.337728626116544
Courtney Barton,1,1,0,0,4.35,95.65,2198.8505747126437
