Trainer,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Grant Jones,11,2,0,0,205.13999999999996,-5.139999999999984,-2.5056059276591522
June Henderson,11,2,0,0,97.74,102.25999999999998,104.62451401677919
Geoffrey Harding,11,2,0,1,120.63,79.37,65.79623642543315
Kyle Marshall,11,2,0,1,84.67999999999999,115.32,136.18327822390174
Steve Borg,11,2,1,1,222.3,-22.299999999999997,-10.031488978857398
Brendan James,11,2,1,2,253.19000000000003,-53.19,-21.00793870216043
Mark Russo,11,2,1,3,194.64999999999998,5.3500000000000085,2.7485229899820234
Anne-Maree Conroy,11,2,2,1,194.83999999999997,5.160000000000025,2.648326832272647
Stephen Clarke,11,2,6,0,254.47,-54.47,-21.405273706134317
Jane Steer,10,2,0,1,72.89,127.11,174.38606118809165
Vicki Rasmussen,10,2,1,0,197.08999999999997,2.9099999999999966,1.4764828251052802
Matthew Craven,10,2,1,1,131.15,68.85,52.49714067861226
Bryse McElhinney,10,2,1,2,109.92,90.08,81.95050946142649
Michael Nutley,10,2,3,1,163.44,36.559999999999995,22.36906510034263
Scott Hewitt,36,3,4,5,394.53999999999996,-94.53999999999998,-23.96208242510265
Ben Battle,33,3,8,4,397.45,-97.44999999999999,-24.518807397156873
Aaron Dunn,29,3,2,0,236.66999999999996,63.33000000000002,26.758778045379657
Leon Jurd,29,3,2,3,214.04999999999998,85.95,40.1541695865452
Tom Ison,29,3,4,5,457.8199999999999,-157.82000000000002,-34.47206325630162
Peter Greig,26,3,1,2,263.66999999999996,36.330000000000005,13.778586869951079
Trent Hoare,26,3,2,3,306.86000000000007,-6.859999999999998,-2.235547155054421
Darren McCall,24,3,1,2,265.99,34.01000000000002,12.786194969735712
Lisa Pitt,22,3,6,2,569.8799999999999,-269.88,-47.35733838702886
Samantha Hill,20,3,1,1,270.84999999999997,29.15,10.762414620638731
Dean Atkinson,19,3,5,0,467.03999999999996,-167.03999999999996,-35.765673175745114
David Thorn,18,3,1,2,341.40000000000003,-41.400000000000006,-12.126537785588752
Jason Carkeet,17,3,1,4,258.18,41.81999999999999,16.198001394376014
David Harris,17,3,2,4,201.45999999999998,98.54,48.91293557033655
Melissa Kendall,15,3,1,1,218.32000000000002,81.68,37.41297178453646
Scott Ewen,14,3,1,5,518.3299999999999,-218.32999999999998,-42.121814288194784
Greg Elkins,14,3,2,4,323.66,-23.66000000000001,-7.310140270654393
Dennis Picker,13,3,1,1,120.91000000000001,179.09,148.11843519973533
Ashleigh Chalmers,13,3,1,2,192.67,107.33000000000001,55.706648673898385
Robbie Williams,13,3,2,1,204.57999999999998,95.42,46.64190047903021
Al Barnes,13,3,3,0,375.24,-75.24,-20.051167252958106
Kari Males,12,3,1,1,179.95000000000002,120.04999999999998,66.71297582661849
Charles Britton,11,3,2,0,217.69,82.30999999999999,37.81064816941522
Matt Maguire,10,3,3,0,304.09,-4.089999999999991,-1.3449965470748761
Kerry Towers,56,4,10,7,592.3199999999999,-192.32,-32.4689357104268
Steve Turnbull,52,4,8,7,681.6499999999999,-281.65,-41.31885865180078
