Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Adam Richardson,99,10,12,10,1215.8799999999999,-215.88,-17.755041615948944
Deni Roberts,61,10,14,5,1666.2900000000002,-666.2900000000001,-39.98643693474725
Alex Ashwood,57,10,6,9,1056.5199999999998,-56.519999999999875,-5.349638435618814
Matt Elkins,32,10,10,2,569.6800000000001,430.32000000000005,75.53714365959837
Angus Garrard,102,12,14,17,1876.3400000000001,-676.3399999999999,-36.045706002110485
Taleah McMullen,96,12,11,17,1530.41,-330.4099999999999,-21.5896393776831
Cameron Hart,84,12,15,14,2215.06,-1015.06,-45.82539524888716
Jack Callaghan,79,12,5,6,934.3100000000001,265.69000000000005,28.43702839528637
Ella Turnbull,60,12,6,8,899.55,300.45,33.40003335000834
Kylah Madden,74,13,9,7,1141.1599999999999,158.84,13.919169967401594
Mark Pitt,45,13,10,6,1617.22,-317.22,-19.61514203386058
Will Rixon,102,14,10,16,1789.5199999999998,-389.51999999999987,-21.766730743439577
Grant Dixon,94,14,16,13,2029.6199999999997,-629.6199999999999,-31.021570540298182
Nathan Dawson,71,14,12,11,1760.52,-360.52,-20.478040578919867
Aiden De Campo,68,14,10,7,1318.29,81.71,6.198180976871552
Chris Alford,99,15,10,13,1604.1499999999999,-104.1499999999999,-6.492534987376487
Jack Laugher,98,16,12,8,1548.7899999999997,51.21000000000014,3.306452133601079
Robert Morris,136,22,17,18,2583.69,-383.68999999999994,-14.850465806656368
Wayne Hill,94,24,12,11,2682.7200000000003,-282.72,-10.538557881553052
Jett Turnbull,89,24,15,6,2550.09,-150.0899999999998,-5.885674623248583
Pete McMullen,92,25,11,8,2846.84,-346.8400000000001,-12.183333099155558
James Herbertson,154,44,27,13,4701.06,-301.06000000000006,-6.40408758875658
