Driver,Starts,Wins,2nds,3rds,Spend,P&L,ROI %
Robbie Williams,100,15,7,7,1469.8,30.200000000000088,2.054701319907476
Kevin Weidenbach,100,15,8,14,1632.2699999999998,-132.26999999999995,-8.10343876932125
Jackson Painting,100,15,9,12,1936.46,-436.46000000000004,-22.53906613098128
Alex Ashwood,100,15,9,13,2134.1699999999996,-634.17,-29.71506487299513
Adam Richardson,100,15,10,15,1464.1000000000001,35.90000000000007,2.452018304760608
Jemma Coney,100,15,11,11,1147.68,352.32,30.69845253032204
Rebecca Bartley,100,15,12,11,1482.97,17.03000000000003,1.1483711740628624
Connor Clarke,100,15,12,14,1213.76,286.24,23.582915897706304
Rickie Alchin,100,15,13,15,1730.48,-230.47999999999996,-13.318847949701814
Will Rothwell,100,15,16,8,2022.8699999999997,-522.87,-25.847928932655094
Grant Dixon,100,15,17,9,2135.2299999999996,-635.2299999999999,-29.749956679139956
Emily Suvaljko,100,15,17,12,1625.6499999999999,-125.65,-7.729216005905331
Gary Bond,100,15,17,13,1527.65,-27.6499999999999,-1.809969561090557
Angus Garrard,100,16,10,20,1487.57,112.43000000000005,7.557963658853033
Chris Svanosio,100,16,13,12,1765.3899999999999,-165.39,-9.368468157177734
Rohan Hillier,100,16,23,12,2373.3700000000003,-773.3699999999999,-32.58531118199016
Ashleigh Delosa,100,17,9,11,1857.99,-157.99,-8.503275044537377
Jack Laugher,100,17,12,10,1699.38,0.6199999999999535,0.03648389412609031
Luke Dunne,100,17,12,11,1439.6899999999998,260.31,18.080975765616213
Harrison Ross,100,17,14,11,1753.28,-53.27999999999996,-3.0388757072458454
Dylan Ford,100,17,19,13,1940.8899999999999,-240.88999999999987,-12.411316457913632
Ewa Justice,100,17,21,16,1828.79,-128.78999999999996,-7.042361342745748
Jai Meikle,100,18,7,6,1514.07,285.93,18.884860013077336
Deni Roberts,100,18,8,7,1854.3999999999996,-54.39999999999998,-2.933563416738567
Taylor Youl,100,18,11,11,1466.1799999999998,333.82000000000005,22.768009384932277
Chris Alford,100,18,12,14,1886.0600000000004,-86.06000000000002,-4.562951337709299
Samantha Hill,100,18,14,8,1791.27,8.730000000000047,0.48736371401296547
Mark Yole,100,18,16,10,2263.28,-463.2800000000001,-20.469407231981904
Kate Gath,100,18,16,14,2180.2799999999997,-380.28,-17.44179646650889
Abbey Turnbull,100,19,9,15,2145.65,-245.64999999999998,-11.448745135506721
Gary Hall Jnr,100,19,19,14,2846.57,-946.5699999999999,-33.25300273662688
Jordan Chibnall,100,20,11,17,2196.01,-196.01,-8.92573348937391
Nathan Dawson,100,20,16,17,2163.81,-163.81000000000003,-7.570442876222961
Matthew Craven,100,21,7,10,1878.82,221.18000000000006,11.772282602910341
Jye Coney,100,21,9,14,1946.1,153.9,7.908123940188069
Aiden De Campo,100,21,15,7,1816.37,283.62999999999994,15.615210557320367
Ryan Hryhorec,100,21,16,16,2523.94,-423.94000000000005,-16.796754281005096
Seaton Grima,100,21,17,6,2118.62,-18.61999999999999,-0.8788739840084578
Wayne Hill,100,21,20,19,2530.1899999999996,-430.19000000000005,-17.00228046115114
Luke McCarthy,100,22,10,9,2158.02,41.980000000000004,1.9453017117542932
Glen Craven,100,22,14,7,2535.55,-335.54999999999995,-13.23381514858709
Bruce Harpley,100,23,11,8,2101.2699999999995,198.73000000000005,9.457613728840181
Kerryn Manning,100,23,11,15,1988.69,311.3100000000001,15.654023502908956
Dylan Egerton-Green,100,23,14,10,2083.3700000000003,216.6300000000001,10.398056994196905
Danielle Hill,100,24,12,19,2757.61,-357.6099999999999,-12.968113692654143
Jason Lee,100,24,24,14,3060.98,-660.9799999999999,-21.593737953204524
Jett Turnbull,100,25,18,14,2511.8500000000004,-11.849999999999937,-0.47176383940123556
Pete McMullen,100,27,12,13,2769.1400000000003,-69.14,-2.4968040619109177
Brad Hewitt,100,29,11,15,2881.05,18.950000000000067,0.657746307769739
James Herbertson,100,33,18,16,2915.290000000001,384.71000000000004,13.1962857897499
Mark Pitt,100,43,13,11,4668.2,-368.19999999999993,-7.887408422946746
